altitude_ft,carry_yards,air_density
0,274.93678379297995,1.2041062595940646
250,275.606237117293,1.1932672502189454
500,276.2476449798907,1.18250738296017
750,276.90423656931176,1.1718262149663565
1000,277.5321623303773,1.1612233051060743
1250,278.15309997357303,1.1506982139641206
1500,278.7442855889563,1.1402505038377981
1750,279.3507445409195,1.1298797387331878
2000,279.9268041526237,1.119585484361435
2250,280.4950415837201,1.1093673081350246
2500,281.03174986081393,1.0992247791640661
2750,281.58381636882706,1.08915746825258
3000,282.10367917329114,1.07916494789478
3250,282.5905104818588,1.0692467922713622
3500,283.0926391187461,1.059402577245797
3750,283.5610375592896,1.0496318803606155
4000,284.0199374902649,1.0399342808337069
4250,284.46923288396476,1.0303093595546085
4500,284.8832251555932,1.0207566990808044
4750,285.2868868015026,1.0112758836340243
5000,285.6801072001643,1.0018664990965391
5250,286.062775721159,0.9925281330074653
5500,286.43478175644526,0.9832603745590666
5750,286.7691120179757,0.9740628145930572
6000,287.0920238656574,0.9649350455969116
6250,287.4034025686896,0.9558766617001675
6500,287.67541555533677,0.9468872586707382
6750,287.96311100091174,0.9379664339112249
7000,288.2106587510807,0.9291137864552264
