spin_axis_deg,lateral_deviation_yards,carry_yards
-25,-45.64103378865965,255.53751510121785
-24,-44.39482715545633,256.9442112479994
-23,-43.08098130016496,258.3025981557879
-22,-41.70154383202322,259.6116139237084
-21,-40.26695096922006,260.89109542397136
-20,-38.77042206464946,262.11901927185943
-19,-37.22183952146941,263.31522346042874
-18,-35.60810545297427,264.43662476979125
-17,-33.9464729837053,265.5240522360053
-16,-32.23194773753434,266.55538429602575
-15,-30.467189151852228,267.5294917858091
-14,-28.66061656676566,268.4663741431236
-13,-26.803312088670122,269.3227709873001
-12,-24.90913295753651,270.1398813252948
-11,-22.97536853714204,270.8956061127117
-10,-21.0050545935297,271.58900410890396
-9,-19.0012928040803,272.2191924850353
-8,-16.96395393535437,272.76410633888264
-7,-14.90324725398188,273.26547274072277
-6,-12.818745542456254,273.7013930142972
-5,-10.715829537240477,274.09257087384424
-4,-8.59330700486367,274.3959186429589
-3,-6.457040939995143,274.63229736180074
-2,-4.310443848129691,274.80137697931434
-1,-2.156948234106061,274.9029201414665
0,0.0,274.93678379297995
1,2.156948234106061,274.9029201414665
2,4.310443848129691,274.80137697931434
3,6.457040939995143,274.63229736180074
4,8.59330700486367,274.3959186429589
5,10.715829537240477,274.09257087384424
6,12.818745542456254,273.7013930142972
7,14.90324725398188,273.26547274072277
8,16.96395393535437,272.76410633888264
9,19.0012928040803,272.2191924850353
10,21.0050545935297,271.58900410890396
11,22.97536853714204,270.8956061127117
12,24.90913295753651,270.1398813252948
13,26.803312088670122,269.3227709873001
14,28.66061656676566,268.4663741431236
15,30.467189151852228,267.5294917858091
16,32.23194773753434,266.55538429602575
17,33.9464729837053,265.5240522360053
18,35.60810545297427,264.43662476979125
19,37.22183952146941,263.31522346042874
20,38.77042206464946,262.11901927185943
21,40.26695096922006,260.89109542397136
22,41.70154383202322,259.6116139237084
23,43.08098130016496,258.3025981557879
24,44.39482715545633,256.9442112479994
25,45.64103378865965,255.53751510121785
